,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
0,1,2017-07-01,14.0,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
1,2,2017-07-02,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
2,3,2017-07-03,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
3,4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
4,5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
5,6,2017-07-06,216.0,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
6,7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
7,8,2017-07-08,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
8,9,2017-07-09,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
9,10,2017-07-11,178.0,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
10,11,2017-07-12,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
11,12,2017-07-13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
12,13,2017-07-14,101.0,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
13,14,2017-07-15,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
14,15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
15,16,2017-07-18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
16,17,2017-07-19,183.0,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO
17,18,2017-07-20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
18,19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
19,20,2017-07-22,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
20,21,2017-07-23,103.0,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
21,1,2016-07-02,188.0,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
22,2,2016-07-03,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
23,3,2016-07-04,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
24,4,2016-07-05,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
25,5,2016-07-06,216.0,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
26,6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
27,7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
28,8,2016-07-09,184.0,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
29,9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
30,10,2016-07-12,197.0,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
31,11,2016-07-13,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
32,12,2016-07-14,178.0,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL
33,13,2016-07-15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED
34,14,2016-07-16,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR
35,15,2016-07-17,160.0,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL
36,16,2016-07-18,209.0,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK
37,17,2016-07-20,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS
38,18,2016-07-21,17.0,Sallanches,Megève,Mountain time trial,Chris Froome,GBR
39,19,2016-07-22,146.0,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA
40,20,2016-07-23,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP
41,21,2016-07-24,113.0,Chantilly,Paris,Flat stage,André Greipel,GER
42,1,2015-07-04,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS
43,2,2015-07-05,166.0,Utrecht,Zeeland,Flat stage,André Greipel,GER
44,3,2015-07-06,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP
45,4,2015-07-07,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER
46,5,2015-07-08,189.5,Arras,Amiens,Flat stage,André Greipel,GER
47,6,2015-07-09,191.5,Abbeville,Le Havre,Flat stage,Zdeněk Štybar,CZE
48,7,2015-07-10,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR
49,8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA
51,10,2015-07-14,167.0,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR
52,11,2015-07-15,188.0,Pau,Cauterets,High mountain stage,Rafał Majka,POL
53,12,2015-07-16,195.0,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP
54,13,2015-07-17,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL
55,14,2015-07-18,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR
